manifold,positive_volume,no_intersections,thick_walls,score
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,False,13
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,False,13
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,False,True,5
False,True,False,True,5
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,False,10
True,True,True,True,12
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
False,False,True,True,6
True,True,True,True,15
True,True,True,False,13
True,True,False,True,11
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,False,7
True,True,True,False,13
False,True,True,True,9
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
False,True,False,True,5
True,True,False,True,8
True,True,True,True,15
True,True,True,True,12
False,True,False,True,5
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,False,13
True,True,True,False,13
True,True,True,False,13
False,True,True,True,9
True,True,True,True,12
False,False,False,True,2
False,True,False,True,5
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,False,True,8
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,False,13
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
True,True,True,True,15
True,True,True,False,10
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,False,13
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,False,10
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
False,True,True,True,9
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,False,10
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
False,True,True,False,7
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
False,True,True,False,7
False,True,True,True,9
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
False,False,True,True,6
True,True,True,True,12
False,True,True,False,7
False,True,True,False,7
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,False,13
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,False,10
True,True,True,True,15
True,True,True,False,10
True,True,True,False,10
True,True,True,False,10
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,False,True,True,6
False,True,True,True,9
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,15
False,True,True,False,7
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,False,10
True,True,True,True,12
True,True,True,True,15
True,True,True,False,10
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,False,10
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,False,13
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
False,True,True,False,7
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,False,7
False,True,True,False,7
True,True,True,True,12
False,True,True,False,7
True,True,True,True,12
True,True,True,False,10
True,True,True,False,10
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
False,True,True,False,7
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,False,True,11
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,12
True,True,True,False,10
True,True,True,False,10
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,False,10
True,True,True,True,12
True,True,True,False,10
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,True,False,7
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,False,10
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,False,True,8
True,True,True,False,10
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,False,13
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
False,True,True,False,7
False,True,True,True,9
True,False,True,True,9
True,True,True,False,10
True,True,True,False,13
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,False,True,True,9
True,True,True,True,15
True,True,True,True,12
True,True,True,False,13
True,True,True,False,10
True,True,True,True,12
True,True,True,True,15
True,True,True,False,10
True,True,True,False,10
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
True,True,True,True,12
True,True,True,False,10
True,True,True,False,10
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
False,True,False,True,5
False,True,False,True,5
False,True,False,True,5
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
True,True,True,False,13
True,True,True,True,15
False,True,True,False,7
True,True,True,False,13
True,True,True,False,10
True,True,True,False,13
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
False,True,True,True,9
True,True,True,False,13
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
False,True,True,True,9
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,False,10
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,False,13
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,False,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
False,True,True,True,9
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,False,True,8
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,False,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,False,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,False,10
True,True,True,False,10
True,True,True,True,12
True,True,True,False,10
True,True,True,True,12
True,True,True,True,15
True,True,True,False,10
False,True,True,True,9
True,True,True,True,15
True,True,True,True,12
True,False,True,False,10
True,False,True,False,10
True,False,True,False,10
True,False,True,False,10
True,False,True,False,10
True,False,True,False,10
True,False,True,False,10
False,False,True,False,4
False,False,True,False,4
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,False,10
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,False,13
True,True,True,True,15
False,True,True,True,9
True,True,True,True,12
True,False,True,True,9
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
False,True,True,False,7
True,True,True,True,12
True,True,True,False,10
False,True,True,True,9
False,True,True,False,7
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,False,10
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,False,13
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,False,13
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
False,True,True,False,7
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,False,10
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
False,True,True,True,9
True,True,True,True,15
False,True,True,True,9
True,True,True,True,15
True,True,True,True,15
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,15
True,True,True,False,13
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,12
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,False,10
True,True,True,True,15
True,True,True,True,15
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
True,True,True,True,12
False,True,True,True,9
True,True,True,True,12
True,True,True,True,12
